Group	Bracketing	Prosody	Text	Solution	condition	item	playlist	First	lab	ResultLeft	ResultRight	ResultCorrect	participant	recordedfile	DifficultyRating	trialN
Both	Left	Late boundary before operator	(3-2)*4=?	3-2*4=4	1	2	2	PlusMinus	three minus two times four equals four	4	-5	4	194	arith12_194_2_1.wav	2	2
Both	Right	Early boundary after operator	4-(2*9)=?	4-(2*9)=-14	2	5	2	PlusMinus	four minus two times nine equals negative fourteen	18	-14	-14	194	arith12_194_5_2.wav	3	6
Both	Left	Late boundary before operator	(6+3)*2=?	6+3*2=18	1	4	2	PlusMinus	six plus three times two equals eighteen	18	12	18	194	arith12_194_4_1.wav	2	3
Both	Right	Early boundary before operator	8-(1*7)=?	8-(1*7)=1	2	3	2	PlusMinus	eight minus one times seven equals one	49	1	1	194	arith12_194_3_2.wav	2	4
Both	Left	Late boundary before operator	(7-2)*6=?	7-2*6=30	1	6	2	PlusMinus	seven minus two times six equals thirty	30	-5	30	194	arith12_194_6_1.wav	2	5
Both	Left	Late boundary before operator	(6*2)+4=?	6*2+4=16	1	10	2	Times	six times two plus four equals sixteen	16	36	16	194	arith12_194_10_1.wav	2	10
Both	Right	Early boundary after operator	8+(3*5)=?	8+(3*5)=23	2	7	2	PlusMinus	eight plus three times five equals twenty three	55	23	23	194	arith12_194_7_2.wav	2	7
Both	Left	Late boundary before operator	(6+5)*4=?	6+5*4=44	1	8	2	PlusMinus	six plus five times four equals forty four	44	26	44	194	arith12_194_8_1.wav	2	8
Both	Right	Early boundary before operator	7*(2+8)=?	7*(2+8)=70	2	9	2	Times	seven times two plus eight equals seventy	17	70	70	194	arith12_194_9_2.wav	2	9
Both	Right	Early boundary before operator	8*(3-2)=?	8*(3-2)=8	2	13	2	Times	eight times three minus two equals 8 	22	8	8	194	arith12_194_13_2.wav	2	14
Both	Right	Early boundary before operator	2*(7+3)=?	2*(7+3)=20	2	15	2	Times	two times seven plus three equals twenty	17	20	20	194	arith12_194_15_2.wav	2	15
Both	Left	Late boundary before operator	(4*5)-6=?	4*5-6=14	1	16	2	Times	four times five minus six equals fourteen	14	-4	14	194	arith12_194_16_1.wav	2	16
Both	Left	Late boundary before operator	(9*4)-7=?	9*4-7=29	1	12	2	Times	nine times four minus seven equals twenty nine	29	-27	29	194	arith12_194_12_1.wav	3	12
Both	Left	Late boundary before operator	(3*4)-9=?	3*4-9=3	1	14	2	Times	three times four minus nine equals three	3	-15	3	194	arith12_194_14_1.wav	2	13
Both	Right	Early boundary before operator	5*(8+1)=?	5*(8+1)=45	2	11	2	Times	five times eight plus one equals forty five	41	45	45	194	arith12_194_11_2.wav	2	11
Both	Right	Early boundary after operator	3-(2*4)=?	3-(2*4)=-5	2	2	1	PlusMinus	three minus two times four equals negative five	4	-5	-5	232	arith12_232_2_2.wav	1	2
Both	Left	Late boundary before operator	(2+7)*8=?	(2+7)*8=72	1	1	1	PlusMinus	two plus seven times eight equals seventy two	72	58	72	232	arith12_232_1_1.wav	1	1
Both	Right	Early boundary after operator	7-(2*6)=?	7-(2*6)=-5	2	6	1	PlusMinus	seven minus two times six equals negative five	30	-5	-5	232	arith12_232_6_2.wav	1	6
Both	Right	Early boundary after operator	6+(3*2)=?	6+(3*2)=12	2	4	1	PlusMinus	six plus three times two equals twelce	18	12	12	232	arith12_232_4_2.wav	1	3
Both	Left	Late boundary before operator	(8-1)*7=?	8-1*7=49	1	3	1	PlusMinus	eight minus one times seven equals forty nine	49	1	49	232	arith12_232_3_1.wav	1	4
Both	Left	Late boundary before operator	(4-2)*9=?	4-2*9=18	1	5	1	PlusMinus	four minus two times nine equals eighteen	18	-14	18	232	arith12_232_5_1.wav	1	5
Both	Left	Late boundary before operator	(7*2)+8=?	7*2+8=22	1	9	1	Times	seven times two plus eight equals seventeen	17	70	17	232	arith12_232_9_1.wav	2	10
Both	Right	Early boundary after operator	6+(5*4)=?	6+(5*4)=26	2	8	1	PlusMinus	six plus five times four equals twenty six	44	26	26	232	arith12_232_8_2.wav	1	7
Both	Left	Late boundary before operator	(8+3)*5=?	8+3*5=55	1	7	1	PlusMinus	eight plus three times five equals fifty five	55	23	55	232	arith12_232_7_1.wav	1	8
Both	Right	Early boundary after operator	6*(2+4)=?	6*(2+4)=36	2	10	1	Times	six times two plus four equals thirty six	16	36	36	232	arith12_232_10_2.wav	1	9
Both	Right	Early boundary after operator	3*(4-9)=?	3*(4-9)=-15	2	14	1	Times	three times four minus nine equals negative fifteen	3	-15	-15	232	arith12_232_14_2.wav	1	14
Both	Right	Early boundary after operator	4*(5-6)=?	4*(5-6)=-4	2	16	1	Times	four times five minus six equals negative four	14	-4	-4	232	arith12_232_16_2.wav	1	15
Both	Left	Early boundary after operator	(2*7)+3=?	2*7+3=17	1	15	1	Times	two times seven plus three equals seventeen	17	20	17	232	arith12_232_15_1.wav	1	16
Both	Right	Early boundary after operator	9*(4-7)=?	9*(4-7)=-27	2	12	1	Times	nine times four minus seven equals negative twenty seven	29	-27	-27	232	arith12_232_12_2.wav	1	12
Both	Left	Late boundary before operator	(8*3)-2=?	8*3-2=22	1	13	1	Times	eight times three minus two equals twenty two	22	8	22	232	arith12_232_13_1.wav	1	13
Both	Left	Late boundary before operator	(5*8)+1=?	5*8+1=41	1	11	1	Times	five times eight plus one equals forty one	41	45	41	232	arith12_232_11_1.wav	1	11
OnlyRight	Right	Two boundaries	2+(7*8)=?	2+(7*8)=58	1	1	0	PlusMinus	two plus seven times eight equals fifty eight	72	58	58	264	arith11_264_1_1.wav	NA	1
OnlyRight	Right	Early boundary after operator	4-(2*9)=?	4-(2*9)=-14	1	5	0	PlusMinus	four minus two times nine equals negative fourteen	18	-14	-14	264	arith11_264_5_1.wav	2	5
OnlyRight	Right	Early boundary after operator	3-(2*4)=?	3-(2*4)=-5	1	2	0	PlusMinus	three minus two times four equals negative five	4	-5	-5	264	arith11_264_2_1.wav	1	2
OnlyRight	Right	Early boundary after operator	8-(1*7)=?	8-(1*7)=1	1	3	0	PlusMinus	eight minus one times seven equals one	49	1	1	264	arith11_264_3_1.wav	2	3
OnlyRight	Right	Early boundary after operator	6+(3*2)=?	6+(3*2)=12	1	4	0	PlusMinus	six plus three times two equals twelce	18	12	12	264	arith11_264_4_1.wav	1	4
OnlyRight	Right	Early boundary after operator	6+(5*4)=?	6+(5*4)=26	1	8	0	PlusMinus	six plus five times four equals twenty six	44	26	26	264	arith11_264_8_1.wav	1	8
OnlyRight	Right	Early boundary after operator	7*(2+8)=?	7*(2+8)=70	1	9	0	Times	seven times two plus eight equals seventy	17	70	70	264	arith11_264_9_1.wav	4	9
OnlyRight	Right	Early boundary before operator	6*(2+4)=?	6*(2+4)=36	1	10	0	Times	six times two plus four equals thirty six	16	36	36	264	arith11_264_10_1.wav	1	10
OnlyRight	Right	Early boundary after operator	9*(4-7)=?	9*(4-7)=-27	1	12	0	Times	nine times four minus seven equals negative twenty seven	29	-27	-27	264	arith11_264_12_1.wav	3	12
OnlyRight	Right	Early boundary after operator	8*(3-2)=?	8*(3-2)=8	1	13	0	Times	eight times three minus two equals 8 	22	8	8	264	arith11_264_13_1.wav	3	13
OnlyRight	Right	Early boundary after operator	4*(5-6)=?	4*(5-6)=-4	1	16	0	Times	four times five minus six equals negative four	14	-4	-4	264	arith11_264_16_1.wav	3	16
OnlyRight	Right	Early boundary after operator	7-(2*6)=?	7-(2*6)=-5	1	6	0	PlusMinus	seven minus two times six equals negative five	30	-5	-5	264	arith11_264_6_1.wav	2	6
OnlyRight	Right	Early boundary after operator	8+(3*5)=?	8+(3*5)=23	1	7	0	PlusMinus	eight plus three times five equals twenty three	55	23	23	264	arith11_264_7_1.wav	1	7
Both	Right	Late boundary before operator	4*(5-6)=?	4*(5-6)=-4	2	16	1	Times	four times five minus six equals negative four	14	-4	-4	502	arith12_502_16_2.wav	2	16
Both	Left	No boundaries	(8-1)*7=?	8-1*7=49	1	3	1	PlusMinus	eight minus one times seven equals forty nine	49	1	49	502	arith12_502_3_1.wav	3	3
Both	Left	No boundaries	(2*7)+3=?	2*7+3=17	1	15	1	Times	two times seven plus three equals seventeen	17	20	17	502	arith12_502_15_1.wav	1	15
Both	Right	No boundaries	6+(5*4)=?	6+(5*4)=26	2	8	1	PlusMinus	six plus five times four equals twenty six	44	26	26	502	arith12_502_8_2.wav	1	8
Both	Right	Early boundary before operator	6*(2+4)=?	6*(2+4)=36	2	10	1	Times	six times two plus four equals thirty six	16	36	36	502	arith12_502_10_2.wav	1	9
Both	Left	No boundaries	(5*8)+1=?	5*8+1=41	1	11	1	Times	five times eight plus one equals forty one	41	45	41	502	arith12_502_11_1.wav	1	11
Both	Right	Early boundary after operator	9*(4-7)=?	9*(4-7)=-27	2	12	1	Times	nine times four minus seven equals negative twenty seven	29	-27	-27	502	arith12_502_12_2.wav	3	12
Both	Left	No boundaries	(8*3)-2=?	8*3-2=22	1	13	1	Times	eight times three minus two equals twenty two	22	8	22	502	arith12_502_13_1.wav	2	13
Both	Right	No boundaries	3*(4-9)=?	3*(4-9)=-15	2	14	1	Times	three times four minus nine equals negative fifteen	3	-15	-15	502	arith12_502_14_2.wav	2	14
Both	Right	No boundaries	3-(2*4)=?	3-(2*4)=-5	2	2	1	PlusMinus	three minus two times four equals negative five	4	-5	-5	502	arith12_502_2_2.wav	4	1
Both	Left	Two boundaries	(2+7)*8=?	(2+7)*8=72	1	1	1	PlusMinus	two plus seven times eight equals seventy two	72	58	72	502	arith12_502_1_1.wav	2	2
Both	Right	No boundaries	6+(3*2)=?	6+(3*2)=12	2	4	1	PlusMinus	six plus three times two equals twelce	18	12	12	502	arith12_502_4_2.wav	2	4
Both	Right	No boundaries	7-(2*6)=?	7-(2*6)=-5	2	6	1	PlusMinus	seven minus two times six equals negative five	30	-5	-5	502	arith12_502_6_2.wav	3	5
Both	Left	No boundaries	(4-2)*9=?	4-2*9=18	1	5	1	PlusMinus	four minus two times nine equals eighteen	18	-14	18	502	arith12_502_5_1.wav	1	6
Both	Left	Late boundary before operator	(8-1)*7=?	8-1*7=49	1	3	1	PlusMinus	eight minus one times seven equals forty nine	49	1	49	520	arith12_520_3_1.wav	3	4
Both	Right	Early boundary after operator	3-(2*4)=?	3-(2*4)=-5	2	2	1	PlusMinus	three minus two times four equals negative five	4	-5	-5	520	arith12_520_2_2.wav	4	2
Both	Right	Early boundary after operator	6+(3*2)=?	6+(3*2)=12	2	4	1	PlusMinus	six plus three times two equals twelce	18	12	12	520	arith12_520_4_2.wav	2	3
Both	Left	Late boundary before operator	(8+3)*5=?	8+3*5=55	1	7	1	PlusMinus	eight plus three times five equals fifty five	55	23	55	520	arith12_520_7_1.wav	3	8
Both	Left	Late boundary before operator	(4-2)*9=?	4-2*9=18	1	5	1	PlusMinus	four minus two times nine equals eighteen	18	-14	18	520	arith12_520_5_1.wav	2	5
Both	Right	Early boundary after operator	7-(2*6)=?	7-(2*6)=-5	2	6	1	PlusMinus	seven minus two times six equals negative five	30	-5	-5	520	arith12_520_6_2.wav	3	6
Both	Right	Early boundary after operator	6+(5*4)=?	6+(5*4)=26	2	8	1	PlusMinus	six plus five times four equals twenty six	44	26	26	520	arith12_520_8_2.wav	3	7
Both	Left	Late boundary before operator	(5*8)+1=?	5*8+1=41	1	11	1	Times	five times eight plus one equals forty one	41	45	41	520	arith12_520_11_1.wav	2	11
Both	Right	Early boundary after operator	9*(4-7)=?	9*(4-7)=-27	2	12	1	Times	nine times four minus seven equals negative twenty seven	29	-27	-27	520	arith12_520_12_2.wav	5	12
Both	Left	Late boundary before operator	(8*3)-2=?	8*3-2=22	1	13	1	Times	eight times three minus two equals twenty two	22	8	22	520	arith12_520_13_1.wav	4	13
Both	Right	Early boundary after operator	3*(4-9)=?	3*(4-9)=-15	2	14	1	Times	three times four minus nine equals negative fifteen	3	-15	-15	520	arith12_520_14_2.wav	4	14
Both	Right	Early boundary after operator	4*(5-6)=?	4*(5-6)=-4	2	16	1	Times	four times five minus six equals negative four	14	-4	-4	520	arith12_520_16_2.wav	3	15
Both	Left	Late boundary before operator	(2*7)+3=?	2*7+3=17	1	15	1	Times	two times seven plus three equals seventeen	17	20	17	520	arith12_520_15_1.wav	2	16
Both	Right	Early boundary after operator	6*(2+4)=?	6*(2+4)=36	2	10	1	Times	six times two plus four equals thirty six	16	36	36	520	arith12_520_10_2.wav	4	9
Both	Left	Late boundary before operator	(7*2)+8=?	7*2+8=22	1	9	1	Times	seven times two plus eight equals seventeen	17	70	17	520	arith12_520_9_1.wav	4	10
OnlyLeft	Left	Late boundary before operator	(2+7)*8=?	(2+7)*8=72	1	1	0	PlusMinus	two plus seven times eight equals seventy two	72	58	72	578	arith7_578_1_1.wav	3	1
OnlyLeft	Left	Late boundary before operator	(3-2)*4=?	3-2*4=4	1	2	0	PlusMinus	three minus two times four equals four	4	-5	4	578	arith7_578_2_1.wav	1	2
OnlyLeft	Left	Late boundary before operator	(8-1)*7=?	8-1*7=49	1	3	0	PlusMinus	eight minus one times seven equals forty nine	49	1	49	578	arith7_578_3_1.wav	4	3
OnlyLeft	Left	No boundaries	(6+3)*2=?	6+3*2=18	1	4	0	PlusMinus	six plus three times two equals eighteen	18	12	18	578	arith7_578_4_1.wav	1	4
OnlyLeft	Left	No boundaries	(4-2)*9=?	4-2*9=18	1	5	0	PlusMinus	four minus two times nine equals eighteen	18	-14	18	578	arith7_578_5_1.wav	2	5
OnlyLeft	Left	No boundaries	(7-2)*6=?	7-2*6=30	1	6	0	PlusMinus	seven minus two times six equals thirty	30	-5	30	578	arith7_578_6_1.wav	2	6
OnlyLeft	Left	No boundaries	(8+3)*5=?	8+3*5=55	1	7	0	PlusMinus	eight plus three times five equals fifty five	55	23	55	578	arith7_578_7_1.wav	2	7
OnlyLeft	Left	Late boundary before operator	(7*2)+8=?	7*2+8=22	1	9	0	Times	seven times two plus eight equals seventeen	17	70	17	578	arith7_578_9_1.wav	3	9
OnlyLeft	Left	Late boundary before operator	(6*2)+4=?	6*2+4=16	1	10	0	Times	six times two plus four equals sixteen	16	36	16	578	arith7_578_10_1.wav	2	10
OnlyLeft	Left	No boundaries	(5*8)+1=?	5*8+1=41	1	11	0	Times	five times eight plus one equals forty one	41	45	41	578	arith7_578_11_1.wav	1	11
OnlyLeft	Left	Late boundary before operator	(9*4)-7=?	9*4-7=29	1	12	0	Times	nine times four minus seven equals twenty nine	29	-27	29	578	arith7_578_12_1.wav	4	12
OnlyLeft	Left	Late boundary before operator	(8*3)-2=?	8*3-2=22	1	13	0	Times	eight times three minus two equals twenty two	22	8	22	578	arith7_578_13_1.wav	2	13
OnlyLeft	Left	Late boundary before operator	(3*4)-9=?	3*4-9=3	1	14	0	Times	three times four minus nine equals three	3	-15	3	578	arith7_578_14_1.wav	2	14
OnlyLeft	Left	No boundaries	(2*7)+3=?	2*7+3=17	1	15	0	Times	two times seven plus three equals seventeen	17	20	17	578	arith7_578_15_1.wav	2	15
OnlyLeft	Left	No boundaries	(4*5)-6=?	4*5-6=14	1	16	0	Times	four times five minus six equals fourteen	14	-4	14	578	arith7_578_16_1.wav	1	16
OnlyLeft	Left	Late boundary before operator	(2+7)*8=?	(2+7)*8=72	1	1	0	PlusMinus	two plus seven times eight equals seventy two	72	58	72	579	arith7_579_1_1.wav	2	1
OnlyLeft	Left	Late boundary before operator	(3-2)*4=?	3-2*4=4	1	2	0	PlusMinus	three minus two times four equals four	4	-5	4	579	arith7_579_2_1.wav	1	2
OnlyLeft	Left	Late boundary before operator	(8-1)*7=?	8-1*7=49	1	3	0	PlusMinus	eight minus one times seven equals forty nine	49	1	49	579	arith7_579_3_1.wav	1	3
OnlyLeft	Left	Late boundary before operator	(6+3)*2=?	6+3*2=18	1	4	0	PlusMinus	six plus three times two equals eighteen	18	12	18	579	arith7_579_4_1.wav	1	4
OnlyLeft	Left	Late boundary before operator	(4-2)*9=?	4-2*9=18	1	5	0	PlusMinus	four minus two times nine equals eighteen	18	-14	18	579	arith7_579_5_1.wav	1	5
OnlyLeft	Left	Late boundary before operator	(7-2)*6=?	7-2*6=30	1	6	0	PlusMinus	seven minus two times six equals thirty	30	-5	30	579	arith7_579_6_1.wav	1	6
OnlyLeft	Left	Late boundary before operator	(6+5)*4=?	6+5*4=44	1	8	0	PlusMinus	six plus five times four equals forty four	44	26	44	579	arith7_579_8_1.wav	1	8
OnlyLeft	Left	Late boundary before operator	(7*2)+8=?	7*2+8=22	1	9	0	Times	seven times two plus eight equals seventeen	17	70	17	579	arith7_579_9_1.wav	2	9
OnlyLeft	Left	Late boundary before operator	(6*2)+4=?	6*2+4=16	1	10	0	Times	six times two plus four equals sixteen	16	36	16	579	arith7_579_10_1.wav	1	10
OnlyLeft	Left	Late boundary before operator	(5*8)+1=?	5*8+1=41	1	11	0	Times	five times eight plus one equals forty one	41	45	41	579	arith7_579_11_1.wav	1	11
OnlyLeft	Left	Late boundary before operator	(9*4)-7=?	9*4-7=29	1	12	0	Times	nine times four minus seven equals twenty nine	29	-27	29	579	arith7_579_12_1.wav	2	12
OnlyLeft	Left	Late boundary before operator	(8*3)-2=?	8*3-2=22	1	13	0	Times	eight times three minus two equals twenty two	22	8	22	579	arith7_579_13_1.wav	2	13
OnlyLeft	Left	Late boundary before operator	(3*4)-9=?	3*4-9=3	1	14	0	Times	three times four minus nine equals three	3	-15	3	579	arith7_579_14_1.wav	1	14
OnlyLeft	Left	Late boundary before operator	(2*7)+3=?	2*7+3=17	1	15	0	Times	two times seven plus three equals seventeen	17	20	17	579	arith7_579_15_1.wav	2	15
OnlyLeft	Left	Late boundary before operator	(4*5)-6=?	4*5-6=14	1	16	0	Times	four times five minus six equals fourteen	14	-4	14	579	arith7_579_16_1.wav	1	16
OnlyLeft	Left	No boundaries	(2+7)*8=?	(2+7)*8=72	1	1	0	PlusMinus	two plus seven times eight equals seventy two	72	58	72	580	arith7_580_1_1.wav	3	1
OnlyLeft	Left	Two boundaries	(3-2)*4=?	3-2*4=4	1	2	0	PlusMinus	three minus two times four equals four	4	-5	4	580	arith7_580_2_1.wav	1	2
OnlyLeft	Left	Two boundaries	(8-1)*7=?	8-1*7=49	1	3	0	PlusMinus	eight minus one times seven equals forty nine	49	1	49	580	arith7_580_3_1.wav	1	3
OnlyLeft	Left	Late boundary before operator	(6+3)*2=?	6+3*2=18	1	4	0	PlusMinus	six plus three times two equals eighteen	18	12	18	580	arith7_580_4_1.wav	1	4
OnlyLeft	Left	Two boundaries	(4-2)*9=?	4-2*9=18	1	5	0	PlusMinus	four minus two times nine equals eighteen	18	-14	18	580	arith7_580_5_1.wav	1	5
OnlyLeft	Left	Two boundaries	(7-2)*6=?	7-2*6=30	1	6	0	PlusMinus	seven minus two times six equals thirty	30	-5	30	580	arith7_580_6_1.wav	1	6
OnlyLeft	Left	Two boundaries	(6+5)*4=?	6+5*4=44	1	8	0	PlusMinus	six plus five times four equals forty four	44	26	44	580	arith7_580_8_1.wav	3	8
OnlyLeft	Left	Two boundaries	(7*2)+8=?	7*2+8=22	1	9	0	Times	seven times two plus eight equals seventeen	17	70	17	580	arith7_580_9_1.wav	2	9
OnlyLeft	Left	Late boundary before operator	(6*2)+4=?	6*2+4=16	1	10	0	Times	six times two plus four equals sixteen	16	36	16	580	arith7_580_10_1.wav	1	10
OnlyLeft	Left	Two boundaries	(5*8)+1=?	5*8+1=41	1	11	0	Times	five times eight plus one equals forty one	41	45	41	580	arith7_580_11_1.wav	1	11
OnlyLeft	Left	Two boundaries	(9*4)-7=?	9*4-7=29	1	12	0	Times	nine times four minus seven equals twenty nine	29	-27	29	580	arith7_580_12_1.wav	2	12
OnlyLeft	Left	Two boundaries	(8*3)-2=?	8*3-2=22	1	13	0	Times	eight times three minus two equals twenty two	22	8	22	580	arith7_580_13_1.wav	1	13
OnlyLeft	Left	Two boundaries	(3*4)-9=?	3*4-9=3	1	14	0	Times	three times four minus nine equals three	3	-15	3	580	arith7_580_14_1.wav	1	14
OnlyLeft	Left	Late boundary before operator	(2*7)+3=?	2*7+3=17	1	15	0	Times	two times seven plus three equals seventeen	17	20	17	580	arith7_580_15_1.wav	1	15
OnlyLeft	Left	Two boundaries	(4*5)-6=?	4*5-6=14	1	16	0	Times	four times five minus six equals fourteen	14	-4	14	580	arith7_580_16_1.wav	1	16
OnlyLeft	Left	No boundaries	(2+7)*8=?	(2+7)*8=72	1	1	0	PlusMinus	two plus seven times eight equals seventy two	72	58	72	581	arith7_581_1_1.wav	3	1
OnlyLeft	Left	Late boundary before operator	(3-2)*4=?	3-2*4=4	1	2	0	PlusMinus	three minus two times four equals four	4	-5	4	581	arith7_581_2_1.wav	1	2
OnlyLeft	Left	No boundaries	(8-1)*7=?	8-1*7=49	1	3	0	PlusMinus	eight minus one times seven equals forty nine	49	1	49	581	arith7_581_3_1.wav	1	3
OnlyLeft	Left	No boundaries	(6+3)*2=?	6+3*2=18	1	4	0	PlusMinus	six plus three times two equals eighteen	18	12	18	581	arith7_581_4_1.wav	1	4
OnlyLeft	Left	No boundaries	(4-2)*9=?	4-2*9=18	1	5	0	PlusMinus	four minus two times nine equals eighteen	18	-14	18	581	arith7_581_5_1.wav	1	5
OnlyLeft	Left	No boundaries	(7-2)*6=?	7-2*6=30	1	6	0	PlusMinus	seven minus two times six equals thirty	30	-5	30	581	arith7_581_6_1.wav	1	6
OnlyLeft	Left	No boundaries	(6+5)*4=?	6+5*4=44	1	8	0	PlusMinus	six plus five times four equals forty four	44	26	44	581	arith7_581_8_1.wav	2	8
OnlyLeft	Left	No boundaries	(7*2)+8=?	7*2+8=22	1	9	0	Times	seven times two plus eight equals seventeen	17	70	17	581	arith7_581_9_1.wav	3	9
OnlyLeft	Left	No boundaries	(6*2)+4=?	6*2+4=16	1	10	0	Times	six times two plus four equals sixteen	16	36	16	581	arith7_581_10_1.wav	3	10
OnlyLeft	Left	No boundaries	(5*8)+1=?	5*8+1=41	1	11	0	Times	five times eight plus one equals forty one	41	45	41	581	arith7_581_11_1.wav	2	11
OnlyLeft	Left	No boundaries	(9*4)-7=?	9*4-7=29	1	12	0	Times	nine times four minus seven equals twenty nine	29	-27	29	581	arith7_581_12_1.wav	4	12
OnlyLeft	Left	No boundaries	(8*3)-2=?	8*3-2=22	1	13	0	Times	eight times three minus two equals twenty two	22	8	22	581	arith7_581_13_1.wav	2	13
OnlyLeft	Left	No boundaries	(3*4)-9=?	3*4-9=3	1	14	0	Times	three times four minus nine equals three	3	-15	3	581	arith7_581_14_1.wav	3	14
OnlyLeft	Left	No boundaries	(2*7)+3=?	2*7+3=17	1	15	0	Times	two times seven plus three equals seventeen	17	20	17	581	arith7_581_15_1.wav	2	15
OnlyLeft	Left	No boundaries	(4*5)-6=?	4*5-6=14	1	16	0	Times	four times five minus six equals fourteen	14	-4	14	581	arith7_581_16_1.wav	2	16
OnlyLeft	Left	Late boundary before operator	(2+7)*8=?	(2+7)*8=72	1	1	0	PlusMinus	two plus seven times eight equals seventy two	72	58	72	582	arith7_582_1_1.wav	1	1
OnlyLeft	Left	Late boundary before operator	(3-2)*4=?	3-2*4=4	1	2	0	PlusMinus	three minus two times four equals four	4	-5	4	582	arith7_582_2_1.wav	1	2
OnlyLeft	Left	Late boundary before operator	(8-1)*7=?	8-1*7=49	1	3	0	PlusMinus	eight minus one times seven equals forty nine	49	1	49	582	arith7_582_3_1.wav	1	3
OnlyLeft	Left	Late boundary before operator	(6+3)*2=?	6+3*2=18	1	4	0	PlusMinus	six plus three times two equals eighteen	18	12	18	582	arith7_582_4_1.wav	1	4
OnlyLeft	Left	Late boundary before operator	(4-2)*9=?	4-2*9=18	1	5	0	PlusMinus	four minus two times nine equals eighteen	18	-14	18	582	arith7_582_5_1.wav	1	5
OnlyLeft	Left	Late boundary before operator	(7-2)*6=?	7-2*6=30	1	6	0	PlusMinus	seven minus two times six equals thirty	30	-5	30	582	arith7_582_6_1.wav	1	6
OnlyLeft	Left	Late boundary before operator	(6+5)*4=?	6+5*4=44	1	8	0	PlusMinus	six plus five times four equals forty four	44	26	44	582	arith7_582_8_1.wav	2	8
OnlyLeft	Left	Two boundaries	(7*2)+8=?	7*2+8=22	1	9	0	Times	seven times two plus eight equals seventeen	17	70	17	582	arith7_582_9_1.wav	2	9
OnlyLeft	Left	Late boundary before operator	(6*2)+4=?	6*2+4=16	1	10	0	Times	six times two plus four equals sixteen	16	36	16	582	arith7_582_10_1.wav	1	10
OnlyLeft	Left	Late boundary before operator	(5*8)+1=?	5*8+1=41	1	11	0	Times	five times eight plus one equals forty one	41	45	41	582	arith7_582_11_1.wav	1	11
OnlyLeft	Left	Late boundary before operator	(9*4)-7=?	9*4-7=29	1	12	0	Times	nine times four minus seven equals twenty nine	29	-27	29	582	arith7_582_12_1.wav	3	12
OnlyLeft	Left	No boundaries	(8*3)-2=?	8*3-2=22	1	13	0	Times	eight times three minus two equals twenty two	22	8	22	582	arith7_582_13_1.wav	1	13
OnlyLeft	Left	Late boundary before operator	(3*4)-9=?	3*4-9=3	1	14	0	Times	three times four minus nine equals three	3	-15	3	582	arith7_582_14_1.wav	3	14
OnlyLeft	Left	Late boundary before operator	(2*7)+3=?	2*7+3=17	1	15	0	Times	two times seven plus three equals seventeen	17	20	17	582	arith7_582_15_1.wav	1	15
